|Nom de fonction|Prototype|Description|Valeur de retour|
|:--------:|:--------:|:--------:|:--------:|
|bzero|void ft_bzero(void *elem, int i)|Met a 0 les i premiers element de elem||
|isalpha|int ft_isalpha(int c)|Verifie si l'argiment est une lettre majuscule ou minuscule|1 si vrai, 0 sinon|
|isascii|int ft_isascii(int c)|Verifie si l'argument est un caractere ASCII|1 si vrai, 0 sinon|
|itoa|char *ft_itoa(int c)|Convertit un int en une chaine de caractere|Resultat de la conversion|
|putchar|void ft_putchar(char c)|Ecrit le caractere c sur la sortie standard converti en un unsigned char||
|putchar_fd|void ft_putchar_fd(char c, int fd)|Ecrit le caractere c, sur le descripteur de fichier fd, converti en un unsigned char||
|putendl|void ft_putendl(const char *s)|Ecris la chaine de caractere passee en parametre sur la sortie standard avec un retour a la ligne||
|putendl_fd|void ft_putendl_fd(const char *s, int fd)|Ecris la chaine de caractere passee en parametre sur le descripteur de fichier fd avec un retour a la ligne||
|putstr|void ft_putstr(const char *str)|Ecrit la chaine de caractere jusqu'au '\0' sur la sortie standard||
|putstr_fd|void ft_putstr_fd(const char *str, int fd)|Ecrit la chaine de caractere jusqu'au '\0' sur le descripteur de fichier fd||
|putstr_tab|void ft_putstr_tab(char **tab)|Ecrit le "tableau" de chaines de caractere sur la sortie standard. Chaque chaine est suivie dun retour a la ligne||
|strcat|char *ft_strcat(char *dest, char *src);|Ajoute la chaîne src à la fin de la chaîne dest en écrasant son caractère nul (« \0 »). Les chaînes ne doivent pas se chevaucher, et la chaîne dest doit être assez grande pour accueillir le résultat. La chaine dest est terminee par '\0'|Pointeur sur la chaine dest|
